name,mode,use_fill16,r,g,b,w,lower_r,lower_g,lower_b,lower_w,upper_r,upper_g,upper_b,upper_w,r16,g16,b16,w16,bfi_r,bfi_g,bfi_b,bfi_w,repeat_index,solver_mode,ok,returncode,elapsed_s,timed_out,X,Y,Z,x,y
W_floor151_v216_bfi2,blend8,0,0,0,0,216,0,0,0,151,0,0,0,216,0,0,0,55512,0,0,0,2,0,0,True,0,0.0,False,1066.2756516034226,1156.9292961461595,1013.3662885844559,0.32944606305380114,0.3574552239599635
W_floor151_v217_bfi2,blend8,0,0,0,0,217,0,0,0,151,0,0,0,217,0,0,0,55769,0,0,0,2,0,0,True,0,0.0,False,1072.0735451432033,1163.1309591916265,1019.196717730429,0.32942267163446437,0.35740244666375154
W_floor151_v218_bfi2,blend8,0,0,0,0,218,0,0,0,151,0,0,0,218,0,0,0,56026,0,0,0,2,0,0,True,0,0.0,False,1074.7381665713833,1165.99016185088,1021.5802249915994,0.32944099216081724,0.3574125937997871
W_floor151_v219_bfi2,blend8,0,0,0,0,219,0,0,0,151,0,0,0,219,0,0,0,56283,0,0,0,2,0,0,True,0,0.0,False,1078.072994243502,1169.6082982236026,1024.7712035372042,0.32943885222469627,0.35741032135736234
W_floor151_v220_bfi2,blend8,0,0,0,0,220,0,0,0,151,0,0,0,220,0,0,0,56540,0,0,0,2,0,0,True,0,0.0,False,1081.3480584900321,1173.1491557270506,1028.1503375055977,0.32941339009195736,0.35737895623652954
W_floor151_v221_bfi2,blend8,0,0,0,0,221,0,0,0,151,0,0,0,221,0,0,0,56797,0,0,0,2,0,0,True,0,0.0,False,1084.5326619314255,1176.6278419781197,1031.3602482432034,0.32939280981671126,0.35736383474843864
W_floor151_v222_bfi2,blend8,0,0,0,0,222,0,0,0,151,0,0,0,222,0,0,0,57054,0,0,0,2,0,0,True,0,0.0,False,1088.2749707019207,1180.6088354349135,1034.9609827567187,0.3293965183716698,0.35734391621656525
W_floor151_v223_bfi2,blend8,0,0,0,0,223,0,0,0,151,0,0,0,223,0,0,0,57311,0,0,0,2,0,0,True,0,0.0,False,1090.8780721557268,1183.413100773128,1037.37205433812,0.3294048933399543,0.35734705480598233
W_floor151_v224_bfi2,blend8,0,0,0,0,224,0,0,0,151,0,0,0,224,0,0,0,57568,0,0,0,2,0,0,True,0,0.0,False,1093.846336174268,1186.5727948525387,1040.1695657925804,0.3294133769780052,0.3573380816447074
W_floor151_v225_bfi2,blend8,0,0,0,0,225,0,0,0,151,0,0,0,225,0,0,0,57825,0,0,0,2,0,0,True,0,0.0,False,1097.0102860142435,1189.968068711713,1043.368729568891,0.32939818530852,0.35731052607799624
W_floor151_v226_bfi2,blend8,0,0,0,0,226,0,0,0,151,0,0,0,226,0,0,0,58082,0,0,0,2,0,0,True,0,0.0,False,1099.7950504682015,1192.8864426225098,1046.2540463208225,0.32938493046260886,0.35726549031633853
W_floor151_v227_bfi2,blend8,0,0,0,0,227,0,0,0,151,0,0,0,227,0,0,0,58339,0,0,0,2,0,0,True,0,0.0,False,1102.604300648377,1196.0581832301234,1048.9209333097401,0.32937321142978276,0.35729003109793667
W_floor151_v228_bfi2,blend8,0,0,0,0,228,0,0,0,151,0,0,0,228,0,0,0,58596,0,0,0,2,0,0,True,0,0.0,False,1106.2171530278565,1199.872207738342,1052.3646222307802,0.32938285253523203,0.35726921190911
W_floor151_v229_bfi2,blend8,0,0,0,0,229,0,0,0,151,0,0,0,229,0,0,0,58853,0,0,0,2,0,0,True,0,0.0,False,1110.0558788104183,1204.0227977425357,1056.3705025366153,0.3293495376513193,0.3572291803752306
W_floor151_v230_bfi2,blend8,0,0,0,0,230,0,0,0,151,0,0,0,230,0,0,0,59110,0,0,0,2,0,0,True,0,0.0,False,1113.1239284321127,1207.3928109594074,1059.337943927683,0.3293407654257383,0.35723216649470896
W_floor151_v231_bfi2,blend8,0,0,0,0,231,0,0,0,151,0,0,0,231,0,0,0,59367,0,0,0,2,0,0,True,0,0.0,False,1115.509535401147,1210.0099793820063,1061.5688685750129,0.329341726328134,0.35724192652520287
W_floor151_v232_bfi2,blend8,0,0,0,0,232,0,0,0,151,0,0,0,232,0,0,0,59624,0,0,0,2,0,0,True,0,0.0,False,1117.7497460434056,1212.3935857876559,1063.6633872368452,0.3293498535916596,0.35723707510386277
W_floor151_v233_bfi2,blend8,0,0,0,0,233,0,0,0,151,0,0,0,233,0,0,0,59881,0,0,0,2,0,0,True,0,0.0,False,1122.2048557462263,1217.4813484486422,1068.1408190521738,0.32930217645758564,0.35726031284551607
W_floor151_v234_bfi2,blend8,0,0,0,0,234,0,0,0,151,0,0,0,234,0,0,0,60138,0,0,0,2,0,0,True,0,0.0,False,1125.452361421712,1220.7885179270224,1071.374738478531,0.3293092282089972,0.35720474577627703
W_floor151_v235_bfi2,blend8,0,0,0,0,235,0,0,0,151,0,0,0,235,0,0,0,60395,0,0,0,2,0,0,True,0,0.0,False,1128.8871837165584,1224.5134795120634,1074.7027080590597,0.3293037173766788,0.35719852842480226
W_floor151_v236_bfi2,blend8,0,0,0,0,236,0,0,0,151,0,0,0,236,0,0,0,60652,0,0,0,2,0,0,True,0,0.0,False,1132.1072001416035,1228.0411562246509,1077.7034547180692,0.3293065735094988,0.35721177750163635
W_floor151_v237_bfi2,blend8,0,0,0,0,237,0,0,0,151,0,0,0,237,0,0,0,60909,0,0,0,2,0,0,True,0,0.0,False,1134.971526468932,1231.0446588813584,1080.3797481770498,0.32932128181433407,0.35719768785282907
W_floor151_v238_bfi2,blend8,0,0,0,0,238,0,0,0,151,0,0,0,238,0,0,0,61166,0,0,0,2,0,0,True,0,0.0,False,1138.4159660537055,1234.6057024875033,1083.8929656666137,0.32931561421521244,0.3571409285813684
W_floor151_v239_bfi2,blend8,0,0,0,0,239,0,0,0,151,0,0,0,239,0,0,0,61423,0,0,0,2,0,0,True,0,0.0,False,1141.249587987828,1237.760818990481,1086.7272082890772,0.3292948614922134,0.35714210260403284
W_floor151_v240_bfi2,blend8,0,0,0,0,240,0,0,0,151,0,0,0,240,0,0,0,61680,0,0,0,2,0,0,True,0,0.0,False,1143.4859565736133,1240.1764022607288,1088.8481270968878,0.32929661730509147,0.3571411540109859
W_floor151_v241_bfi2,blend8,0,0,0,0,241,0,0,0,151,0,0,0,241,0,0,0,61937,0,0,0,2,0,0,True,0,0.0,False,1147.7232330429083,1244.870304653866,1093.0581615818614,0.32927077403643984,0.35714133598359665
W_floor151_v242_bfi2,blend8,0,0,0,0,242,0,0,0,151,0,0,0,242,0,0,0,62194,0,0,0,2,0,0,True,0,0.0,False,1149.7607375539972,1247.0966622621354,1095.0199886953042,0.3292672134871643,0.35714216838345636
W_floor151_v243_bfi2,blend8,0,0,0,0,243,0,0,0,151,0,0,0,243,0,0,0,62451,0,0,0,2,0,0,True,0,0.0,False,1153.2490688869743,1250.79568676206,1098.2899864677465,0.3292800813750774,0.35713196449237455
W_floor151_v244_bfi2,blend8,0,0,0,0,244,0,0,0,151,0,0,0,244,0,0,0,62708,0,0,0,2,0,0,True,0,0.0,False,1155.7330946202187,1253.4873672870413,1100.709920010857,0.3292752188402752,0.35712599137138207
W_floor151_v245_bfi2,blend8,0,0,0,0,245,0,0,0,151,0,0,0,245,0,0,0,62965,0,0,0,2,0,0,True,0,0.0,False,1160.2919643979426,1258.316381792682,1105.1684320146678,0.3292751037961307,0.3570931023711325
W_floor151_v246_bfi2,blend8,0,0,0,0,246,0,0,0,151,0,0,0,246,0,0,0,63222,0,0,0,2,0,0,True,0,0.0,False,1163.195472861321,1261.5179430372982,1107.973056508667,0.3292665459974098,0.3570987555478308
W_floor151_v247_bfi2,blend8,0,0,0,0,247,0,0,0,151,0,0,0,247,0,0,0,63479,0,0,0,2,0,0,True,0,0.0,False,1164.892704505492,1263.6460848845065,1109.7913370721005,0.3292210344630119,0.3571306349947621
W_floor151_v248_bfi2,blend8,0,0,0,0,248,0,0,0,151,0,0,0,248,0,0,0,63736,0,0,0,2,0,0,True,0,0.0,False,1168.7389755746194,1267.5784883508595,1113.6922542678872,0.3292213453909647,0.35706338544784105
W_floor151_v249_bfi2,blend8,0,0,0,0,249,0,0,0,151,0,0,0,249,0,0,0,63993,0,0,0,2,0,0,True,0,0.0,False,1172.959430330798,1271.9923495277671,1117.8971108634873,0.32921952805387833,0.3570155200351433
W_floor151_v250_bfi2,blend8,0,0,0,0,250,0,0,0,151,0,0,0,250,0,0,0,64250,0,0,0,2,0,0,True,0,0.0,False,1175.0403662212316,1274.2181683631288,1120.2124160656113,0.32919174366925896,0.3569767581750747
W_floor151_v251_bfi2,blend8,0,0,0,0,251,0,0,0,151,0,0,0,251,0,0,0,64507,0,0,0,2,0,0,True,0,0.0,False,1178.6475463337442,1278.1497881101445,1123.4181222992981,0.3292113451199733,0.35700359477047744
W_floor151_v252_bfi2,blend8,0,0,0,0,252,0,0,0,151,0,0,0,252,0,0,0,64764,0,0,0,2,0,0,True,0,0.0,False,1181.7535695237004,1281.5136777095036,1126.3138232874703,0.32921768482367364,0.3570092588892603
W_floor151_v253_bfi2,blend8,0,0,0,0,253,0,0,0,151,0,0,0,253,0,0,0,65021,0,0,0,2,0,0,True,0,0.0,False,1185.115131416318,1285.0649029596084,1129.53645094459,0.32922457539341354,0.35699058750877904
W_floor151_v254_bfi2,blend8,0,0,0,0,254,0,0,0,151,0,0,0,254,0,0,0,65278,0,0,0,2,0,0,True,0,0.0,False,1185.4617977581079,1285.3984569060185,1129.728237056926,0.32924112280086376,0.3569967686842237
W_floor151_v255_bfi2,blend8,0,0,0,0,255,0,0,0,151,0,0,0,255,0,0,0,65535,0,0,0,2,0,0,True,0,0.0,False,1191.9930938975835,1292.4757195134712,1136.2259118557884,0.32921667921333364,0.3569689845691745
W_floor151_v152_bfi3,blend8,0,0,0,0,152,0,0,0,151,0,0,0,152,0,0,0,39064,0,0,0,3,0,0,True,0,0.0,False,861.4773032319131,935.2082687557347,815.5646451172303,0.32978360862638834,0.35800868639307204
W_floor151_v153_bfi3,blend8,0,0,0,0,153,0,0,0,151,0,0,0,153,0,0,0,39321,0,0,0,3,0,0,True,0,0.0,False,862.9155348644417,936.9360797475481,816.6274960273665,0.32980027677483803,0.35809041086462207
W_floor151_v154_bfi3,blend8,0,0,0,0,154,0,0,0,151,0,0,0,154,0,0,0,39578,0,0,0,3,0,0,True,0,0.0,False,864.3071026216599,938.5285290147534,817.8543881101364,0.32980134854149906,0.35812267835687017
W_floor151_v155_bfi3,blend8,0,0,0,0,155,0,0,0,151,0,0,0,155,0,0,0,39835,0,0,0,3,0,0,True,0,0.0,False,867.0604776684931,941.4933595688956,820.4710518742698,0.3298030692898731,0.35811504237490277
W_floor151_v156_bfi3,blend8,0,0,0,0,156,0,0,0,151,0,0,0,156,0,0,0,40092,0,0,0,3,0,0,True,0,0.0,False,868.4807370900866,943.0608822507426,821.8580140898956,0.32979450823369805,0.3581153693038786
W_floor151_v157_bfi3,blend8,0,0,0,0,157,0,0,0,151,0,0,0,157,0,0,0,40349,0,0,0,3,0,0,True,0,0.0,False,870.6329751863677,945.4265237141644,823.9505184719816,0.32978396652179015,0.3581147486156534
W_floor151_v158_bfi3,blend8,0,0,0,0,158,0,0,0,151,0,0,0,158,0,0,0,40606,0,0,0,3,0,0,True,0,0.0,False,873.6090795375776,948.6259910116373,826.8531154629645,0.3297772736107627,0.3580952857744072
W_floor151_v159_bfi3,blend8,0,0,0,0,159,0,0,0,151,0,0,0,159,0,0,0,40863,0,0,0,3,0,0,True,0,0.0,False,875.0166238866873,950.1205092087362,828.1323439902354,0.3297880714505495,0.35809423709661975
W_floor151_v160_bfi3,blend8,0,0,0,0,160,0,0,0,151,0,0,0,160,0,0,0,41120,0,0,0,3,0,0,True,0,0.0,False,876.4342285739648,951.6718311580107,829.4781577220531,0.3297860601435956,0.35809658444981074
W_floor151_v161_bfi3,blend8,0,0,0,0,161,0,0,0,151,0,0,0,161,0,0,0,41377,0,0,0,3,0,0,True,0,0.0,False,878.927712906765,954.3983164677652,831.9167636299837,0.329773976019631,0.35809057207575334
W_floor151_v162_bfi3,blend8,0,0,0,0,162,0,0,0,151,0,0,0,162,0,0,0,41634,0,0,0,3,0,0,True,0,0.0,False,880.6772267899651,956.2779121952037,833.5939425069664,0.3297738404784899,0.3580828822142058
W_floor151_v163_bfi3,blend8,0,0,0,0,163,0,0,0,151,0,0,0,163,0,0,0,41891,0,0,0,3,0,0,True,0,0.0,False,883.9026495572192,959.7535548722768,836.7334371355794,0.32976647717572505,0.3580649395107639
W_floor151_v164_bfi3,blend8,0,0,0,0,164,0,0,0,151,0,0,0,164,0,0,0,42148,0,0,0,3,0,0,True,0,0.0,False,886.4927300183743,962.5702696296779,839.2772225797497,0.32975466523494795,0.3580537395047436
W_floor151_v165_bfi3,blend8,0,0,0,0,165,0,0,0,151,0,0,0,165,0,0,0,42405,0,0,0,3,0,0,True,0,0.0,False,888.1085350197129,964.3882463703719,840.8394973856193,0.3297429073444241,0.35806455137816984
W_floor151_v166_bfi3,blend8,0,0,0,0,166,0,0,0,151,0,0,0,166,0,0,0,42662,0,0,0,3,0,0,True,0,0.0,False,890.9747838879684,967.4847612425588,843.6218348206924,0.32973647296442754,0.35805167395070264
W_floor151_v167_bfi3,blend8,0,0,0,0,167,0,0,0,151,0,0,0,167,0,0,0,42919,0,0,0,3,0,0,True,0,0.0,False,892.6664847085983,969.2994162372145,845.1858085957199,0.3297437973506756,0.3580513839770617
W_floor151_v168_bfi3,blend8,0,0,0,0,168,0,0,0,151,0,0,0,168,0,0,0,43176,0,0,0,3,0,0,True,0,0.0,False,895.428069286686,972.2296328824455,847.8852195774989,0.3297418214663125,0.35802403456657933
W_floor151_v169_bfi3,blend8,0,0,0,0,169,0,0,0,151,0,0,0,169,0,0,0,43433,0,0,0,3,0,0,True,0,0.0,False,897.3088339896208,974.2359418862595,849.6861656447309,0.32974372747952396,0.3580129591433578
W_floor151_v170_bfi3,blend8,0,0,0,0,170,0,0,0,151,0,0,0,170,0,0,0,43690,0,0,0,3,0,0,True,0,0.0,False,900.0212137100625,977.199236795758,852.3470973323327,0.32973033197983653,0.358005149046306
W_floor151_v171_bfi3,blend8,0,0,0,0,171,0,0,0,151,0,0,0,171,0,0,0,43947,0,0,0,3,0,0,True,0,0.0,False,902.1764826050788,979.5704021203743,854.4218865491232,0.32972252738080277,0.35800803386264285
