name,mode,use_fill16,r,g,b,w,lower_r,lower_g,lower_b,lower_w,upper_r,upper_g,upper_b,upper_w,r16,g16,b16,w16,bfi_r,bfi_g,bfi_b,bfi_w,repeat_index,solver_mode,ok,returncode,elapsed_s,timed_out,X,Y,Z,x,y,stdout,stderr
B_floor000_v087_bfi2,blend8,0,0,0,87,0,0,0,0,0,0,0,87,0,0,0,22359,0,0,0,2,0,0,0,True,0,2.9890244007110596,False,49.533273,26.442717,309.222651,0.128592,0.068647,"
Place instrument on spot to be measured,
and hit [A-Z] to read white and setup FWA compensation (keyed to letter)
[a-z] to read and make FWA compensated reading from keyed reference
'r' to set reference, 's' to save spectrum,
'f' to report cal. refresh rate, 'F' to measure refresh rate
'h' to toggle high res., 'k' to do a calibration
Hit ESC or Q to exit, any other key to take a reading: 
 Result is XYZ: 49.533273 26.442717 309.222651, Yxy: 26.442717 0.128592 0.068647
",
B_floor000_v087_bfi2,blend8,0,0,0,87,0,0,0,0,0,0,0,87,0,0,0,22359,0,0,0,2,0,1,0,True,0,2.4893641471862793,False,49.611268,26.398925,309.666464,0.128634,0.068448,"
Place instrument on spot to be measured,
and hit [A-Z] to read white and setup FWA compensation (keyed to letter)
[a-z] to read and make FWA compensated reading from keyed reference
'r' to set reference, 's' to save spectrum,
'f' to report cal. refresh rate, 'F' to measure refresh rate
'h' to toggle high res., 'k' to do a calibration
Hit ESC or Q to exit, any other key to take a reading: 
 Result is XYZ: 49.611268 26.398925 309.666464, Yxy: 26.398925 0.128634 0.068448
",
B_floor000_v088_bfi2,blend8,0,0,0,88,0,0,0,0,0,0,0,88,0,0,0,22616,0,0,0,2,0,0,0,True,0,2.47552752494812,False,50.444631,26.775367,314.83456,0.128667,0.068295,"
Place instrument on spot to be measured,
and hit [A-Z] to read white and setup FWA compensation (keyed to letter)
[a-z] to read and make FWA compensated reading from keyed reference
'r' to set reference, 's' to save spectrum,
'f' to report cal. refresh rate, 'F' to measure refresh rate
'h' to toggle high res., 'k' to do a calibration
Hit ESC or Q to exit, any other key to take a reading: 
 Result is XYZ: 50.444631 26.775367 314.834560, Yxy: 26.775367 0.128667 0.068295
",
B_floor000_v088_bfi2,blend8,0,0,0,88,0,0,0,0,0,0,0,88,0,0,0,22616,0,0,0,2,0,1,0,True,0,2.4736557006835938,False,50.549545,26.720087,315.241927,0.128785,0.068075,"
Place instrument on spot to be measured,
and hit [A-Z] to read white and setup FWA compensation (keyed to letter)
[a-z] to read and make FWA compensated reading from keyed reference
'r' to set reference, 's' to save spectrum,
'f' to report cal. refresh rate, 'F' to measure refresh rate
'h' to toggle high res., 'k' to do a calibration
Hit ESC or Q to exit, any other key to take a reading: 
 Result is XYZ: 50.549545 26.720087 315.241927, Yxy: 26.720087 0.128785 0.068075
",
B_floor000_v089_bfi2,blend8,0,0,0,89,0,0,0,0,0,0,0,89,0,0,0,22873,0,0,0,2,0,0,0,True,0,2.4180023670196533,False,51.197042,27.051247,319.350701,0.128766,0.068037,"
Place instrument on spot to be measured,
and hit [A-Z] to read white and setup FWA compensation (keyed to letter)
[a-z] to read and make FWA compensated reading from keyed reference
'r' to set reference, 's' to save spectrum,
'f' to report cal. refresh rate, 'F' to measure refresh rate
'h' to toggle high res., 'k' to do a calibration
Hit ESC or Q to exit, any other key to take a reading: 
 Result is XYZ: 51.197042 27.051247 319.350701, Yxy: 27.051247 0.128766 0.068037
",
B_floor000_v089_bfi2,blend8,0,0,0,89,0,0,0,0,0,0,0,89,0,0,0,22873,0,0,0,2,0,1,0,True,0,2.457638740539551,False,51.299032,27.052904,319.846655,0.128828,0.067938,"
Place instrument on spot to be measured,
and hit [A-Z] to read white and setup FWA compensation (keyed to letter)
[a-z] to read and make FWA compensated reading from keyed reference
'r' to set reference, 's' to save spectrum,
'f' to report cal. refresh rate, 'F' to measure refresh rate
'h' to toggle high res., 'k' to do a calibration
Hit ESC or Q to exit, any other key to take a reading: 
 Result is XYZ: 51.299032 27.052904 319.846655, Yxy: 27.052904 0.128828 0.067938
",
B_floor000_v092_bfi2,blend8,0,0,0,92,0,0,0,0,0,0,0,92,0,0,0,23644,0,0,0,2,0,0,0,True,0,2.3769571781158447,False,53.074881,27.940209,330.906317,0.128847,0.067829,"
Place instrument on spot to be measured,
and hit [A-Z] to read white and setup FWA compensation (keyed to letter)
[a-z] to read and make FWA compensated reading from keyed reference
'r' to set reference, 's' to save spectrum,
'f' to report cal. refresh rate, 'F' to measure refresh rate
'h' to toggle high res., 'k' to do a calibration
Hit ESC or Q to exit, any other key to take a reading: 
 Result is XYZ: 53.074881 27.940209 330.906317, Yxy: 27.940209 0.128847 0.067829
",
B_floor000_v092_bfi2,blend8,0,0,0,92,0,0,0,0,0,0,0,92,0,0,0,23644,0,0,0,2,0,1,0,True,0,2.4421842098236084,False,53.210219,27.967915,331.689297,0.12888,0.067741,"
Place instrument on spot to be measured,
and hit [A-Z] to read white and setup FWA compensation (keyed to letter)
[a-z] to read and make FWA compensated reading from keyed reference
'r' to set reference, 's' to save spectrum,
'f' to report cal. refresh rate, 'F' to measure refresh rate
'h' to toggle high res., 'k' to do a calibration
Hit ESC or Q to exit, any other key to take a reading: 
 Result is XYZ: 53.210219 27.967915 331.689297, Yxy: 27.967915 0.128880 0.067741
",
B_floor000_v093_bfi2,blend8,0,0,0,93,0,0,0,0,0,0,0,93,0,0,0,23901,0,0,0,2,0,0,0,True,0,2.3616929054260254,False,53.977382,28.281292,336.205296,0.128989,0.067584,"
Place instrument on spot to be measured,
and hit [A-Z] to read white and setup FWA compensation (keyed to letter)
[a-z] to read and make FWA compensated reading from keyed reference
'r' to set reference, 's' to save spectrum,
'f' to report cal. refresh rate, 'F' to measure refresh rate
'h' to toggle high res., 'k' to do a calibration
Hit ESC or Q to exit, any other key to take a reading: 
 Result is XYZ: 53.977382 28.281292 336.205296, Yxy: 28.281292 0.128989 0.067584
",
B_floor000_v093_bfi2,blend8,0,0,0,93,0,0,0,0,0,0,0,93,0,0,0,23901,0,0,0,2,0,1,0,True,0,2.449100971221924,False,53.980111,28.251328,336.214011,0.129002,0.067515,"
Place instrument on spot to be measured,
and hit [A-Z] to read white and setup FWA compensation (keyed to letter)
[a-z] to read and make FWA compensated reading from keyed reference
'r' to set reference, 's' to save spectrum,
'f' to report cal. refresh rate, 'F' to measure refresh rate
'h' to toggle high res., 'k' to do a calibration
Hit ESC or Q to exit, any other key to take a reading: 
 Result is XYZ: 53.980111 28.251328 336.214011, Yxy: 28.251328 0.129002 0.067515
",
B_floor000_v100_bfi2,blend8,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,25700,0,0,0,2,0,0,0,True,0,2.3661715984344482,False,58.035462,30.403162,361.704854,0.128927,0.067541,"
Place instrument on spot to be measured,
and hit [A-Z] to read white and setup FWA compensation (keyed to letter)
[a-z] to read and make FWA compensated reading from keyed reference
'r' to set reference, 's' to save spectrum,
'f' to report cal. refresh rate, 'F' to measure refresh rate
'h' to toggle high res., 'k' to do a calibration
Hit ESC or Q to exit, any other key to take a reading: 
 Result is XYZ: 58.035462 30.403162 361.704854, Yxy: 30.403162 0.128927 0.067541
",
B_floor000_v100_bfi2,blend8,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,25700,0,0,0,2,0,1,0,True,0,2.3654110431671143,False,58.250154,30.415999,362.760108,0.129036,0.067378,"
Place instrument on spot to be measured,
and hit [A-Z] to read white and setup FWA compensation (keyed to letter)
[a-z] to read and make FWA compensated reading from keyed reference
'r' to set reference, 's' to save spectrum,
'f' to report cal. refresh rate, 'F' to measure refresh rate
'h' to toggle high res., 'k' to do a calibration
Hit ESC or Q to exit, any other key to take a reading: 
 Result is XYZ: 58.250154 30.415999 362.760108, Yxy: 30.415999 0.129036 0.067378
",
B_floor000_v101_bfi2,blend8,0,0,0,101,0,0,0,0,0,0,0,101,0,0,0,25957,0,0,0,2,0,0,0,True,0,2.294642686843872,False,58.826066,30.737808,366.420679,0.129009,0.06741,"
Place instrument on spot to be measured,
and hit [A-Z] to read white and setup FWA compensation (keyed to letter)
[a-z] to read and make FWA compensated reading from keyed reference
'r' to set reference, 's' to save spectrum,
'f' to report cal. refresh rate, 'F' to measure refresh rate
'h' to toggle high res., 'k' to do a calibration
Hit ESC or Q to exit, any other key to take a reading: 
 Result is XYZ: 58.826066 30.737808 366.420679, Yxy: 30.737808 0.129009 0.067410
",
B_floor000_v101_bfi2,blend8,0,0,0,101,0,0,0,0,0,0,0,101,0,0,0,25957,0,0,0,2,0,1,0,True,0,2.3027381896972656,False,58.877387,30.679875,366.542415,0.129089,0.067266,"
Place instrument on spot to be measured,
and hit [A-Z] to read white and setup FWA compensation (keyed to letter)
[a-z] to read and make FWA compensated reading from keyed reference
'r' to set reference, 's' to save spectrum,
'f' to report cal. refresh rate, 'F' to measure refresh rate
'h' to toggle high res., 'k' to do a calibration
Hit ESC or Q to exit, any other key to take a reading: 
 Result is XYZ: 58.877387 30.679875 366.542415, Yxy: 30.679875 0.129089 0.067266
",
B_floor000_v102_bfi2,blend8,0,0,0,102,0,0,0,0,0,0,0,102,0,0,0,26214,0,0,0,2,0,0,0,True,0,2.2845969200134277,False,59.446622,30.972349,370.024418,0.129107,0.067266,"
Place instrument on spot to be measured,
and hit [A-Z] to read white and setup FWA compensation (keyed to letter)
[a-z] to read and make FWA compensated reading from keyed reference
'r' to set reference, 's' to save spectrum,
'f' to report cal. refresh rate, 'F' to measure refresh rate
'h' to toggle high res., 'k' to do a calibration
Hit ESC or Q to exit, any other key to take a reading: 
 Result is XYZ: 59.446622 30.972349 370.024418, Yxy: 30.972349 0.129107 0.067266
",
