mode,lower_value,upper_value,value,bfi,estimated_output,output_q16,normalized_output
fill8,0,0,0,0,0.0,0,0.0
blend8,0,1,1,4,0.065554,33,0.000503547722590982
blend8,0,1,1,3,0.131646,67,0.0010223544670786603
blend8,0,2,2,4,0.164992,83,0.001266498817425803
blend8,0,1,1,2,0.19898,101,0.0015411612115663385
blend8,0,1,1,1,0.266005,134,0.0020447089341573206
blend8,0,2,2,3,0.331172,167,0.0025482566567483025
fill8,0,1,1,0,0.341992,173,0.002639810788128481
blend8,0,4,4,4,0.363325,184,0.0028076600289921416
blend8,1,2,2,4,0.431851,218,0.00332646677347982
blend8,0,5,5,4,0.462361,234,0.0035706111238269626
blend8,0,2,2,2,0.498062,252,0.0038452735179674985
blend8,0,3,3,3,0.529459,268,0.004089417868314641
blend8,1,2,2,3,0.532361,269,0.004104676890211338
blend8,0,6,6,4,0.563492,285,0.00434882124055848
blend8,1,4,4,4,0.629686,318,0.004852368963149462
blend8,1,2,2,2,0.632941,320,0.004882887006942855
blend8,0,7,7,4,0.66204,335,0.005111772335393301
blend8,0,2,2,1,0.664446,336,0.005127031357289998
blend8,0,4,4,3,0.729387,369,0.00563057907988098
blend8,1,2,2,1,0.733167,371,0.005661097123674372
blend8,0,8,8,4,0.762183,385,0.005874723430228122
blend8,0,3,3,2,0.795157,402,0.0061341268024719614
blend8,1,6,6,4,0.82908,419,0.0063935301747158006
fill8,0,2,2,0,0.85666,433,0.006607156481269551
blend8,0,9,9,4,0.861396,435,0.006637674525062943
blend8,0,5,5,3,0.92819,469,0.0071564812695506215
blend8,1,3,3,2,0.929153,470,0.007171740291447318
blend8,2,3,3,4,0.935134,473,0.007217517357137408
blend8,1,7,7,4,0.941174,476,0.007263294422827497
blend8,0,10,10,4,0.960353,485,0.007400625619897764
blend8,1,8,8,4,1.028916,520,0.007934691386282139
blend8,2,3,3,3,1.03485,523,0.007980468451972228
blend8,2,4,4,4,1.037203,524,0.007995727473868924
blend8,0,11,11,4,1.06109,536,0.008178835736629282
blend8,0,3,3,1,1.061519,537,0.008194094758525979
blend8,0,4,4,2,1.094322,553,0.00843823910887312
blend8,0,6,6,3,1.127923,570,0.00869764248111696
blend8,1,5,5,3,1.128771,571,0.008712901503013657
blend8,2,3,3,2,1.134604,574,0.008758678568703746
blend8,1,3,3,1,1.159598,586,0.008941786831464103
blend8,0,12,12,4,1.1603,587,0.008957045853360799
blend8,1,10,10,4,1.225876,620,0.00946059357595178
blend8,1,4,4,2,1.228189,621,0.009475852597848477
blend8,2,3,3,1,1.233795,624,0.009521629663538568
blend8,0,13,13,4,1.259891,637,0.00971999694819562
blend8,0,7,7,3,1.326458,670,0.010223544670786603
blend8,1,6,6,3,1.328144,671,0.010238803692683299
blend8,2,7,7,4,1.343727,679,0.01036087586785687
blend8,0,14,14,4,1.360614,688,0.010498207064927139
fill8,0,3,3,0,1.365921,690,0.010528725108720532
blend8,0,5,5,2,1.392707,704,0.010742351415274281
blend8,1,12,12,4,1.425131,720,0.010986495765621425
blend8,2,4,4,2,1.434505,725,0.011062790875104906
