mode,lower_value,upper_value,value,bfi,estimated_output,output_q16,normalized_output
fill8,0,0,0,0,0.0,0,0.0
blend8,0,1,1,4,0.296595,34,0.0005188067444876783
blend8,0,1,1,3,0.595447,69,0.001052872510872053
blend8,0,2,2,4,0.743605,86,0.0013122758831158924
blend8,0,1,1,2,0.8969,104,0.0015869382772564279
blend8,0,3,3,4,1.188755,138,0.002105745021744106
blend8,0,1,1,1,1.198454,139,0.0021210040436408025
blend8,0,2,2,3,1.49027,172,0.0026245517662317848
fill8,0,1,1,0,1.528988,177,0.0027008468757152666
blend8,0,4,4,4,1.637002,189,0.002883955138475624
blend8,1,2,2,4,1.942044,225,0.003433279926756695
blend8,0,5,5,4,2.083734,241,0.0036774242771038376
blend8,0,2,2,2,2.234564,259,0.003952086671244373
blend8,0,3,3,3,2.381224,276,0.004211490043488212
blend8,1,2,2,3,2.390616,277,0.0042267490653849086
blend8,0,6,6,4,2.530742,293,0.004470893415732051
blend8,1,2,2,2,2.837343,328,0.005004959182116427
blend8,0,2,2,1,2.980831,345,0.005264362554360266
blend8,0,4,4,3,3.27815,379,0.005783169298847944
blend8,1,2,2,1,3.285262,380,0.0057984283207446405
blend8,0,8,8,4,3.424101,396,0.006042572671091783
blend8,0,3,3,2,3.572821,413,0.006301976043335622
blend8,1,6,6,4,3.727933,431,0.006576638437476158
fill8,0,2,2,0,3.844852,445,0.006790264744029908
blend8,0,9,9,4,3.869019,448,0.006836041809719997
blend8,1,3,3,2,4.175536,483,0.0073701075761043715
blend8,1,4,4,3,4.178171,484,0.007385366598001068
blend8,2,3,3,4,4.194043,485,0.007400625619897764
blend8,0,10,10,4,4.316151,500,0.007629510948348211
blend8,1,8,8,4,4.62056,535,0.008163576714732586
blend8,2,3,3,3,4.639768,537,0.008194094758525979
blend8,2,4,4,4,4.649638,538,0.008209353780422675
blend8,0,3,3,1,4.763953,551,0.008407721065079728
blend8,0,4,4,2,4.917082,569,0.008682383459220264
blend8,0,6,6,3,5.066451,586,0.008941786831464103
blend8,1,3,3,1,5.072936,587,0.008957045853360799
blend8,2,3,3,2,5.084863,588,0.008972304875257495
blend8,2,5,5,4,5.0961,590,0.009002822919050888
blend8,0,12,12,4,5.211587,603,0.009201190203707943
blend8,1,10,10,4,5.505222,637,0.00971999694819562
blend8,1,4,4,2,5.522215,639,0.009750514991989014
blend8,2,3,3,1,5.529044,640,0.00976577401388571
blend8,2,4,4,3,5.547226,642,0.009796292057679103
blend8,0,13,13,4,5.656869,655,0.009994659342336155
blend8,0,7,7,3,5.956227,689,0.010513466086823835
blend8,1,6,6,3,5.965596,690,0.010528725108720532
blend8,2,7,7,4,5.994303,694,0.010589761196307317
blend8,0,14,14,4,6.101649,706,0.010772869459067674
fill8,0,3,3,0,6.141244,711,0.010849164568551155
blend8,0,5,5,2,6.255204,724,0.01104753185320821
blend8,1,12,12,4,6.403483,741,0.011306935225452048
blend8,2,4,4,2,6.439746,745,0.011367971313038834
blend8,2,8,8,4,6.446704,746,0.01138323033493553
blend8,0,15,15,4,6.548011,758,0.011566338597695888
blend8,0,4,4,1,6.55613,759,0.011581597619592585
blend8,1,13,13,4,6.844372,792,0.012085145342183566
blend8,0,8,8,3,6.853504,793,0.012100404364080263
blend8,1,4,4,1,6.865108,794,0.01211566338597696
blend8,3,4,4,3,6.899317,798,0.012176699473563745
blend8,3,5,5,4,6.907227,799,0.012191958495460441
blend8,0,16,16,4,6.996809,810,0.012359807736324101
blend8,1,14,14,4,7.286916,843,0.012863355458915083
blend8,2,4,4,1,7.334676,849,0.012954909590295263
blend8,3,4,4,2,7.346626,850,0.01297016861219196
blend8,3,6,6,4,7.360554,852,0.013000686655985352
blend8,0,17,17,4,7.440866,861,0.01313801785305562
blend8,0,6,6,2,7.599798,880,0.013427939269092852
blend8,1,15,15,4,7.73154,895,0.013656824597543298
blend8,0,9,9,3,7.740133,896,0.013672083619439994
blend8,1,8,8,3,7.750204,897,0.01368734264133669
blend8,2,5,5,2,7.783634,901,0.013748378728923476
blend8,3,4,4,1,7.793097,902,0.013763637750820172
blend8,3,5,5,3,7.807795,904,0.013794155794613565
blend8,0,18,18,4,7.886196,913,0.013931486991683834
blend8,1,16,16,4,8.179227,947,0.014450293736171512
blend8,1,6,6,2,8.201362,949,0.014480811779964905
blend8,2,7,7,3,8.23534,953,0.01454184786755169
blend8,3,8,8,4,8.265024,957,0.014602883955138476
blend8,0,19,19,4,8.328895,964,0.01470969710841535
blend8,0,5,5,1,8.34275,966,0.014740215152208743
fill8,0,4,4,0,8.446502,978,0.014923323414969101
blend8,1,17,17,4,8.618445,997,0.015213244831006332
blend8,0,10,10,3,8.636754,1000,0.015259021896696421
blend8,1,5,5,1,8.649094,1001,0.015274280918593118
blend8,2,13,13,4,8.685068,1005,0.015335317006179903
blend8,3,5,5,2,8.70814,1008,0.015381094071869994
blend8,3,9,9,4,8.715695,1009,0.01539635309376669
blend8,0,20,20,4,8.780033,1016,0.015503166247043565
blend8,0,7,7,2,8.936304,1034,0.0157778286411841
blend8,1,18,18,4,9.063616,1049,0.016006713969634545
blend8,2,5,5,1,9.128016,1056,0.016113527122911423
blend8,2,6,6,2,9.13177,1057,0.01612878614480812
blend8,4,5,5,3,9.161986,1060,0.01617456321049821
blend8,3,10,10,4,9.165048,1061,0.016189822232394905
blend8,4,6,6,4,9.179374,1062,0.0162050812542916
blend8,0,21,21,4,9.221037,1067,0.016281376363775083
blend8,1,19,19,4,9.506262,1100,0.016784924086366063
blend8,1,10,10,3,9.525118,1102,0.016815442130159456
blend8,0,11,11,3,9.531636,1103,0.016830701152056152
blend8,1,7,7,2,9.536036,1104,0.01684596017395285
blend8,2,15,15,4,9.58331,1109,0.01692225528343633
blend8,3,5,5,1,9.608995,1112,0.01696803234912642
blend8,3,7,7,3,9.61407,1113,0.016983291371023116
blend8,4,7,7,4,9.632286,1115,0.01701380941481651
blend8,0,22,22,4,9.673507,1120,0.017090104524299994
blend8,1,20,20,4,9.956302,1152,0.017578393224994278
blend8,2,9,9,3,10.030088,1161,0.017715724422064545
blend8,4,5,5,1,10.052387,1163,0.017746242465857938
blend8,3,6,6,2,10.064453,1165,0.01777676050965133
blend8,4,6,6,3,10.07952,1166,0.017792019531548027
blend8,4,8,8,4,10.085743,1167,0.017807278553444723
blend8,0,23,23,4,10.116624,1171,0.01786831464103151
blend8,0,6,6,1,10.132434,1173,0.0178988326848249
blend8,0,8,8,2,10.280874,1190,0.018158236057068743
blend8,1,21,21,4,10.401695,1204,0.018371862363622492
blend8,1,11,11,3,10.412685,1205,0.01838712138551919
blend8,0,12,12,3,10.428812,1207,0.01841763942931258
blend8,1,6,6,1,10.436843,1208,0.018432898451209278
blend8,2,7,7,2,10.474766,1212,0.018493934538796063
blend8,2,17,17,4,10.477212,1213,0.01850919356069276
blend8,3,8,8,3,10.519847,1217,0.018570229648279545
blend8,4,9,9,4,10.537902,1220,0.018616006713969634
blend8,0,24,24,4,10.569681,1223,0.018661783779659723
fill8,0,5,5,0,10.740569,1243,0.01896696421759365
blend8,1,22,22,4,10.843485,1255,0.01915007248035401
blend8,1,8,8,2,10.879081,1259,0.019211108567940796
blend8,2,6,6,1,10.925341,1264,0.019287403677424278
blend8,2,10,10,3,10.930278,1265,0.019302662699320974
blend8,3,14,14,4,10.966976,1269,0.01936369878690776
blend8,4,6,6,2,10.981279,1271,0.019394216830701153
blend8,4,10,10,4,10.989986,1272,0.01940947585259785
blend8,0,25,25,4,11.016496,1275,0.019455252918287938
blend8,1,23,23,4,11.286012,1306,0.019928282597085525
blend8,1,12,12,3,11.31018,1309,0.019974059662775615
blend8,0,13,13,3,11.320133,1310,0.01998931868467231
blend8,2,19,19,4,11.375699,1317,0.02009613183794919
blend8,3,6,6,1,11.416078,1321,0.020157167925535974
blend8,3,9,9,3,11.420618,1322,0.02017242694743267
blend8,5,6,6,3,11.438596,1324,0.020202944991226063
blend8,5,7,7,4,11.451307,1325,0.02021820401312276
blend8,0,26,26,4,11.461105,1326,0.020233463035019456
blend8,0,9,9,2,11.614614,1344,0.02050812542915999
blend8,1,24,24,4,11.734754,1358,0.02072175173571374
blend8,2,11,11,3,11.824926,1368,0.020874341954680704
blend8,2,8,8,2,11.827374,1369,0.0208896009765774
blend8,3,16,16,4,11.868213,1374,0.020965896086060882
blend8,4,6,6,1,11.88214,1375,0.020981155107957578
blend8,5,6,6,2,11.887777,1376,0.020996414129854278
blend8,0,27,27,4,11.898494,1377,0.021011673151750974
blend8,5,8,8,4,11.909725,1378,0.02102693217364767
blend8,0,7,7,1,11.914767,1379,0.021042191195544367
blend8,1,25,25,4,12.178249,1409,0.021499961852445258
blend8,1,13,13,3,12.19474,1411,0.02153047989623865
blend8,0,14,14,3,12.21144,1413,0.021560997940032044
blend8,1,7,7,1,12.216692,1414,0.02157625696192874
blend8,2,21,21,4,12.27127,1420,0.021667811093308918
blend8,3,10,10,3,12.319029,1426,0.021759365224689096
blend8,4,7,7,2,12.334101,1427,0.021774624246585793
blend8,5,6,6,1,12.335318,1428,0.02178988326848249
blend8,4,13,13,4,12.34354,1429,0.021805142290379186
blend8,5,7,7,3,12.353907,1430,0.021820401312275882
blend8,5,9,9,4,12.364127,1431,0.02183566033417258
blend8,1,26,26,4,12.626967,1461,0.022293430991073473
blend8,2,7,7,1,12.716586,1472,0.022461280231937133
blend8,3,18,18,4,12.766209,1477,0.022537575341420615
blend8,3,8,8,2,12.775092,1478,0.02255283436331731
blend8,4,9,9,3,12.792502,1480,0.022583352407110704
blend8,0,29,29,4,12.794091,1481,0.0225986114290074
blend8,5,10,10,4,12.820696,1484,0.02264438849469749
blend8,0,10,10,2,12.95334,1499,0.022873273823147935
fill8,0,6,6,0,13.041747,1509,0.023025864042114902
blend8,1,27,27,4,13.069978,1513,0.023086900129701687
blend8,1,14,14,3,13.082525,1514,0.023102159151598384
blend8,0,15,15,3,13.099117,1516,0.023132677195391776
blend8,2,9,9,2,13.167242,1524,0.023254749370565347
blend8,3,19,19,4,13.213085,1529,0.02333104448004883
blend8,3,7,7,1,13.217723,1530,0.023346303501945526
blend8,0,30,30,4,13.239021,1532,0.02337682154573892
blend8,4,15,15,4,13.245121,1533,0.023392080567635615
blend8,5,7,7,2,13.25837,1534,0.02340733958953231
blend8,5,8,8,3,13.266587,1535,0.023422598611429007
blend8,5,11,11,4,13.274643,1536,0.023437857633325704
blend8,1,28,28,4,13.507682,1563,0.023849851224536506
blend8,1,10,10,2,13.552599,1568,0.02392614633401999
blend8,2,13,13,3,13.620491,1576,0.024048218509193562
blend8,3,20,20,4,13.660591,1581,0.024124513618677044
blend8,0,31,31,4,13.677862,1583,0.024155031662470437
blend8,4,7,7,1,13.685683,1584,0.024170290684367133
blend8,4,8,8,2,13.695072,1585,0.02418554970626383
blend8,0,8,8,1,13.705668,1586,0.024200808728160526
blend8,5,12,12,4,13.729866,1589,0.024246585793850615
blend8,1,29,29,4,13.953309,1615,0.02464332036316472
blend8,1,15,15,3,13.975064,1617,0.024673838406958113
blend8,0,16,16,3,14.000929,1620,0.024719615472648202
blend8,1,8,8,1,14.005264,1621,0.0247348744945449
blend8,2,25,25,4,14.062863,1627,0.024826428625925077
blend8,3,21,21,4,14.111249,1633,0.02491798275730526
blend8,3,9,9,2,14.121956,1634,0.024933241779201955
blend8,0,32,32,4,14.133399,1636,0.024963759822995348
blend8,4,17,17,4,14.148683,1637,0.024979018844892044
blend8,6,7,7,2,14.15301,1638,0.02499427786678874
blend8,5,7,7,1,14.158111,1639,0.025009536888685437
blend8,5,9,9,3,14.173336,1640,0.025024795910582133
blend8,5,13,13,4,14.181169,1641,0.02504005493247883
blend8,0,11,11,2,14.295356,1654,0.025238422217135882
blend8,1,30,30,4,14.396244,1666,0.02542153047989624
blend8,2,8,8,1,14.516186,1680,0.025635156786449988
blend8,3,22,22,4,14.560313,1685,0.02571145189593347
blend8,0,33,33,4,14.564832,1686,0.025726710917830166
blend8,6,7,7,1,14.597127,1689,0.025772487983520255
blend8,5,8,8,2,14.623539,1692,0.025818265049210344
blend8,6,8,8,3,14.63306,1693,0.02583352407110704
blend8,5,14,14,4,14.635309,1694,0.025848783093003737
blend8,1,31,31,4,14.843568,1718,0.026214999618524453
blend8,1,16,16,3,14.865273,1720,0.026245517662317846
blend8,1,11,11,2,14.873558,1721,0.026260776684214542
blend8,0,17,17,3,14.881388,1722,0.02627603570611124
blend8,2,27,27,4,14.955375,1731,0.026413366903181506
blend8,0,34,34,4,15.01186,1737,0.026504921034561684
blend8,3,13,13,3,15.019109,1738,0.02652018005645838
blend8,3,8,8,1,15.028409,1739,0.026535439078355077
blend8,4,9,9,2,15.044507,1741,0.02656595712214847
blend8,4,19,19,4,15.049811,1742,0.026581216144045166
blend8,5,10,10,3,15.080726,1745,0.026626993209735255
blend8,5,15,15,4,15.085878,1746,0.02664225223163195
blend8,1,32,32,4,15.284084,1769,0.02699320973525597
fill8,0,7,7,0,15.335528,1775,0.02708476386663615
blend8,2,15,15,3,15.410911,1783,0.02720683604180972
blend8,0,35,35,4,15.448356,1788,0.027283131151293202
blend8,3,24,24,4,15.455596,1789,0.0272983901731899
blend8,3,10,10,2,15.471926,1791,0.02732890821698329
blend8,0,9,9,1,15.48191,1792,0.027344167238879988
blend8,4,8,8,1,15.49759,1794,0.02737468528267338
blend8,6,8,8,2,15.536653,1798,0.027435721370260166
blend8,0,12,12,2,15.645071,1811,0.02763408865491722
blend8,1,33,33,4,15.733946,1821,0.027786678873884182
blend8,1,17,17,3,15.745979,1822,0.02780193789578088
blend8,0,18,18,3,15.766303,1825,0.02784771496147097
blend8,1,9,9,1,15.790573,1827,0.027878233005264364
blend8,2,11,11,2,15.857677,1835,0.028000305180437935
blend8,0,36,36,4,15.902515,1840,0.028076600289921417
blend8,7,8,8,3,15.919301,1842,0.02810711833371481
blend8,3,14,14,3,15.921491,1843,0.028122377355611506
blend8,7,9,9,4,15.941202,1845,0.0281528953994049
blend8,4,21,21,4,15.952388,1846,0.028168154421301595
blend8,5,8,8,1,15.980516,1849,0.028213931486991684
blend8,5,11,11,3,15.986232,1850,0.02822919050888838
blend8,6,13,13,4,15.989918,1851,0.028244449530785077
blend8,1,34,34,4,16.172067,1872,0.0285648889906157
blend8,1,12,12,2,16.21404,1876,0.028625925078202486
blend8,2,9,9,1,16.303836,1887,0.028793774319066146
blend8,2,16,16,3,16.317024,1888,0.028809033340962846
blend8,0,37,37,4,16.330811,1890,0.02883955138475624
blend8,3,26,26,4,16.348454,1892,0.02887006942854963
blend8,7,8,8,2,16.366278,1894,0.028900587472343024
blend8,7,10,10,4,16.395871,1897,0.028946364538033113
blend8,4,10,10,2,16.401273,1898,0.02896162355992981
blend8,5,18,18,4,16.428079,1901,0.0290074006256199
blend8,6,14,14,4,16.438114,1902,0.029022659647516595
blend8,6,8,8,1,16.440914,1903,0.02903791866941329
blend8,1,35,35,4,16.602987,1921,0.029312581063553826
