mode,lower_value,upper_value,value,bfi,estimated_output,output_q16,normalized_output
fill8,0,0,0,0,0.0,0,0.0
blend8,0,1,1,4,0.092484,39,0.0005951018539711605
blend8,0,1,1,3,0.17885,76,0.001159685664148928
blend8,0,2,2,4,0.233608,99,0.0015106431677729458
blend8,0,1,1,2,0.262353,111,0.0016937514305333029
blend8,0,1,1,1,0.340582,144,0.0021972991531242847
blend8,0,3,3,4,0.375474,159,0.002426184481574731
blend8,0,2,2,3,0.463052,196,0.002990768291752499
fill8,0,1,1,0,0.467591,198,0.0030212863355458916
blend8,0,4,4,4,0.517307,219,0.003341725795376516
blend8,1,2,2,4,0.580302,246,0.00375371938658732
blend8,0,5,5,4,0.658287,279,0.004257267109178301
blend8,0,2,2,2,0.690322,292,0.004455634393835355
blend8,1,2,2,3,0.713266,302,0.0046082246128023195
blend8,1,3,3,4,0.729038,309,0.004715037766079194
blend8,0,3,3,3,0.747209,317,0.004837109941252766
blend8,0,6,6,4,0.798643,338,0.0051575494010833904
blend8,1,2,2,2,0.843489,357,0.005447470817120622
blend8,1,4,4,4,0.872108,370,0.005645838101777676
blend8,0,2,2,1,0.914506,387,0.005905241474021515
blend8,0,7,7,4,0.939602,398,0.006073090714885176
blend8,1,2,2,1,0.965411,409,0.006240939955748837
blend8,1,3,3,3,1.008771,427,0.006515602349889372
blend8,1,5,5,4,1.013526,429,0.006546120393682765
blend8,0,4,4,3,1.031121,437,0.006668192568856336
blend8,0,8,8,4,1.080273,458,0.0069886320286869615
blend8,0,3,3,2,1.117443,473,0.007217517357137408
blend8,1,6,6,4,1.151926,488,0.007446402685587854
fill8,0,2,2,0,1.197554,507,0.007736324101625086
blend8,0,9,9,4,1.220109,517,0.00788891432059205
blend8,1,3,3,2,1.288158,546,0.008331425955596246
blend8,1,4,4,3,1.294317,548,0.008361943999389639
blend8,0,5,5,3,1.313517,557,0.008499275196459906
blend8,0,10,10,4,1.360231,576,0.008789196612497139
blend8,2,3,3,3,1.416306,600,0.009155413138017853
blend8,1,8,8,4,1.428532,605,0.009231708247501335
blend8,2,4,4,4,1.452467,615,0.009384298466468299
blend8,0,3,3,1,1.486162,630,0.009613183794918746
blend8,0,11,11,4,1.501477,636,0.009704737926298924
blend8,2,3,3,2,1.537112,651,0.00993362325474937
blend8,0,4,4,2,1.544408,654,0.009979400320439459
blend8,1,3,3,1,1.567963,664,0.010131990539406424
blend8,1,9,9,4,1.571216,666,0.010162508583199817
blend8,1,5,5,3,1.575627,668,0.01019302662699321
blend8,0,6,6,3,1.595565,676,0.010315098802166781
blend8,0,12,12,4,1.640366,695,0.010605020218204014
blend8,2,3,3,1,1.649071,699,0.010666056305790799
blend8,1,4,4,2,1.71347,726,0.011078049897001603
blend8,2,4,4,3,1.733608,735,0.01121538109407187
blend8,2,6,6,4,1.738264,737,0.011245899137865263
blend8,0,13,13,4,1.779319,754,0.011505302510109103
blend8,1,11,11,4,1.844367,781,0.011917296101319905
blend8,1,6,6,3,1.853527,785,0.011978332188906692
blend8,0,7,7,3,1.875595,795,0.012130922407873656
blend8,2,7,7,4,1.8807,797,0.012161440451667048
fill8,0,3,3,0,1.917314,812,0.012390325780117494
blend8,0,14,14,4,1.919194,813,0.01240558480201419
blend8,0,5,5,2,1.967493,834,0.012726024261844816
blend8,1,12,12,4,1.986438,842,0.012848096437018387
blend8,3,4,4,4,2.003371,849,0.012954909590295263
blend8,2,4,4,2,2.014897,854,0.013031204699778745
blend8,2,5,5,3,2.01974,856,0.013061722743572137
blend8,2,8,8,4,2.023106,857,0.013076981765468834
blend8,0,4,4,1,2.056999,872,0.01330586709391928
blend8,1,13,13,4,2.122828,899,0.013717860685130083
blend8,1,7,7,3,2.128221,902,0.013763637750820172
blend8,3,4,4,3,2.131367,903,0.013778896772716868
blend8,1,4,4,1,2.13441,904,0.013794155794613565
blend8,1,5,5,2,2.136773,905,0.013809414816510261
blend8,0,8,8,3,2.157637,914,0.01394674601358053
blend8,2,9,9,4,2.16522,917,0.01399252307927062
blend8,3,5,5,4,2.18851,927,0.014145113298237583
blend8,0,16,16,4,2.198244,931,0.014206149385824368
blend8,3,4,4,2,2.251032,954,0.014557106889448387
blend8,1,14,14,4,2.256521,956,0.01458762493324178
blend8,2,4,4,1,2.295781,973,0.014847028305485618
blend8,2,6,6,3,2.303095,976,0.014892805371175709
blend8,2,10,10,4,2.307047,978,0.014923323414969101
blend8,3,6,6,4,2.334999,989,0.015091172655832761
blend8,0,17,17,4,2.337997,991,0.015121690699626154
blend8,3,4,4,1,2.35611,998,0.015228503852903029
blend8,0,6,6,2,2.390789,1013,0.015457389181353476
blend8,1,15,15,4,2.399998,1017,0.015518425268940261
blend8,1,8,8,3,2.407443,1020,0.01556420233463035
blend8,0,9,9,3,2.436101,1032,0.015747310597390707
blend8,2,5,5,2,2.443361,1035,0.015793087663080796
blend8,2,11,11,4,2.448425,1037,0.01582360570687419
blend8,3,5,5,3,2.472761,1048,0.01599145494773785
blend8,0,18,18,4,2.477214,1050,0.01602197299153124
blend8,3,7,7,4,2.48016,1051,0.016037232013427938
blend8,1,16,16,4,2.535608,1074,0.016388189517051958
blend8,1,6,6,2,2.55472,1082,0.01651026169222553
blend8,2,7,7,3,2.586224,1096,0.016723887998779278
blend8,2,12,12,4,2.589492,1097,0.016739147020675974
blend8,0,19,19,4,2.614563,1108,0.016906996261539634
blend8,0,5,5,1,2.621777,1111,0.016952773327229723
blend8,3,8,8,4,2.625603,1112,0.01696803234912642
fill8,0,4,4,0,2.638509,1118,0.017059586480506598
blend8,1,17,17,4,2.671436,1132,0.01727321278706035
blend8,1,9,9,3,2.689911,1140,0.01739528496223392
blend8,1,5,5,1,2.698989,1144,0.017456321049820707
blend8,0,10,10,3,2.716871,1151,0.01756313420309758
blend8,4,5,5,4,2.723312,1154,0.01760891126878767
blend8,2,13,13,4,2.732325,1158,0.017669947356374456
blend8,0,20,20,4,2.754225,1167,0.017807278553444723
blend8,3,5,5,2,2.759195,1169,0.017837796597238116
blend8,3,6,6,3,2.766097,1172,0.017883573662928205
blend8,3,9,9,4,2.769633,1174,0.017914091706721598
blend8,0,7,7,2,2.811483,1191,0.01817349507896544
blend8,1,18,18,4,2.814414,1192,0.018188754100862136
blend8,4,5,5,3,2.852703,1209,0.018448157473105974
blend8,2,5,5,1,2.867555,1215,0.018539711604486152
blend8,2,6,6,2,2.868731,1216,0.01855497062638285
blend8,2,8,8,3,2.871729,1217,0.018570229648279545
blend8,0,21,21,4,2.896447,1227,0.01872281986724651
blend8,3,10,10,4,2.912011,1234,0.018829633020523383
blend8,4,6,6,4,2.914542,1235,0.01884489204242008
blend8,1,19,19,4,2.948453,1249,0.019058518348973832
blend8,4,5,5,2,2.969079,1258,0.0191958495460441
blend8,1,7,7,2,2.971609,1259,0.019211108567940796
blend8,1,10,10,3,2.977193,1261,0.01924162661173419
blend8,0,11,11,3,3.000026,1271,0.019394216830701153
blend8,2,15,15,4,3.016466,1278,0.019501029983978027
blend8,0,22,22,4,3.035708,1286,0.019623102159151598
blend8,4,5,5,1,3.043716,1290,0.019684138246738384
blend8,3,5,5,1,3.047673,1291,0.01969939726863508
blend8,3,11,11,4,3.055939,1295,0.019760433356221865
blend8,3,7,7,3,3.058341,1296,0.01977569237811856
blend8,1,20,20,4,3.086601,1308,0.019958800640878918
blend8,2,9,9,3,3.153986,1336,0.02038605325398642
blend8,2,16,16,4,3.158203,1338,0.020416571297779813
blend8,0,23,23,4,3.176274,1346,0.020538643472953384
blend8,0,6,6,1,3.186359,1350,0.02059967956054017
blend8,3,6,6,2,3.196108,1354,0.020660715648126955
blend8,4,8,8,4,3.204962,1358,0.02072175173571374
blend8,1,21,21,4,3.223547,1366,0.02084382391088731
blend8,0,8,8,2,3.234079,1370,0.020904859998474096
blend8,1,11,11,3,3.238115,1372,0.02093537804226749
blend8,1,6,6,1,3.25702,1380,0.021057450217441064
blend8,0,12,12,3,3.27513,1388,0.021179522392614634
blend8,2,7,7,2,3.292647,1395,0.02128633554589151
blend8,2,17,17,4,3.298371,1398,0.021332112611581598
blend8,0,24,24,4,3.320113,1407,0.021469443808651865
blend8,3,13,13,4,3.338628,1415,0.021591515983825436
blend8,3,8,8,3,3.344932,1417,0.02162203402761883
blend8,4,9,9,4,3.349929,1419,0.021652552071412222
fill8,0,5,5,0,3.356286,1422,0.02169832913710231
blend8,1,22,22,4,3.365958,1426,0.021759365224689096
blend8,1,8,8,2,3.384599,1434,0.021881437399862667
blend8,2,6,6,1,3.432621,1454,0.022186617837796598
blend8,2,10,10,3,3.436729,1456,0.02221713588158999
blend8,2,18,18,4,3.44166,1458,0.022247653925383384
blend8,5,6,6,4,3.451771,1463,0.022323949034866866
blend8,0,25,25,4,3.462335,1467,0.02238498512245365
blend8,4,6,6,2,3.481104,1475,0.022507057297627222
blend8,3,14,14,4,3.483447,1476,0.02252231631952392
blend8,4,7,7,3,3.488176,1478,0.02255283436331731
blend8,4,10,10,4,3.494665,1481,0.0225986114290074
blend8,1,23,23,4,3.500249,1483,0.022629129472800793
blend8,1,12,12,3,3.52016,1492,0.02276646066987106
blend8,0,13,13,3,3.555345,1506,0.022980086976424813
blend8,5,6,6,3,3.573406,1514,0.023102159151598384
blend8,2,19,19,4,3.580914,1517,0.023147936217288473
blend8,0,26,26,4,3.606851,1528,0.023315785458152133
blend8,3,15,15,4,3.625326,1536,0.023437857633325704
blend8,3,6,6,1,3.627199,1537,0.0234531166552224
blend8,3,7,7,2,3.629221,1538,0.023468375677119097
blend8,3,9,9,3,3.633235,1539,0.023483634699015793
blend8,1,24,24,4,3.635503,1540,0.02349889372091249
