rank,mode,lower_value,upper_value,value,bfi,output_q16,normalized_output,delta_q16_from_prev
0,fill8,0,0,0,0,0,0.0,0
1,blend8,0,1,1,4,30,0.00045777065690089265,30
2,blend8,0,1,1,3,60,0.0009155413138017853,30
3,blend8,0,2,2,4,84,0.0012817578393224994,24
4,blend8,0,1,1,2,91,0.0013885709925993744,7
5,blend8,0,1,1,1,121,0.001846341649500267,30
6,blend8,0,3,3,4,137,0.0020904859998474097,16
7,fill8,0,1,1,0,154,0.002349889372091249,17
8,blend8,0,2,2,3,168,0.002563515678644999,14
9,blend8,0,4,4,4,190,0.0028992141603723202,22
10,blend8,1,2,2,4,205,0.0031280994888227666,15
11,blend8,0,5,5,4,243,0.0037079423208972303,38
12,blend8,0,2,2,2,252,0.0038452735179674985,9
13,blend8,1,3,3,4,258,0.003936827649347677,6
14,blend8,1,2,2,3,259,0.003952086671244373,1
15,blend8,0,3,3,3,274,0.0041809719996948195,15
16,blend8,0,6,6,4,296,0.004516670481422141,22
17,blend8,1,4,4,4,311,0.004745555809872587,15
18,blend8,1,2,2,2,313,0.00477607385366598,2
19,blend8,0,2,2,1,335,0.005111772335393301,22
20,blend8,0,7,7,4,348,0.005310139620050355,13
21,blend8,1,5,5,4,364,0.005554283970397498,16
22,blend8,1,3,3,3,365,0.005569542992294194,1
23,blend8,1,2,2,1,366,0.0055848020141908905,1
24,blend8,0,4,4,3,380,0.0057984283207446405,14
25,blend8,0,8,8,4,402,0.0061341268024719614,22
26,blend8,0,3,3,2,410,0.006256198977645533,8
27,blend8,1,6,6,4,417,0.006363012130922408,7
28,fill8,0,2,2,0,431,0.006576638437476158,14
29,blend8,0,9,9,4,454,0.006927595941100175,23
30,blend8,1,7,7,4,469,0.0071564812695506215,15
31,blend8,1,4,4,3,471,0.007186999313344014,2
32,blend8,1,3,3,2,472,0.0072022583352407115,1
33,blend8,2,3,3,4,474,0.007232776379034104,2
34,blend8,0,5,5,3,486,0.007415884641794461,12
35,blend8,0,10,10,4,506,0.00772106507972839,20
36,blend8,1,8,8,4,522,0.007965209430075532,16
37,blend8,2,3,3,3,527,0.008041504539559013,5
38,blend8,0,3,3,1,547,0.008346684977492943,20
39,blend8,0,11,11,4,559,0.008529793240253299,12
40,blend8,0,4,4,2,571,0.008712901503013657,12
41,blend8,1,9,9,4,575,0.008773937590600443,4
42,blend8,1,5,5,3,577,0.008804455634393835,2
43,blend8,1,3,3,1,578,0.008819714656290532,1
44,blend8,2,3,3,2,580,0.008850232700083924,2
45,blend8,2,5,5,4,581,0.00886549172198062,1
46,blend8,0,6,6,3,592,0.009033340962844283,11
47,blend8,0,12,12,4,611,0.009323262378881514,19
48,blend8,1,10,10,4,626,0.00955214770733196,15
49,blend8,1,4,4,2,631,0.009628442816815443,5
50,blend8,2,3,3,1,633,0.009658960860608835,2
51,blend8,2,4,4,3,634,0.009674219882505532,1
52,blend8,0,13,13,4,665,0.01014724956130312,31
53,blend8,1,11,11,4,678,0.010345616845960174,13
54,blend8,1,6,6,3,684,0.010437170977340352,6
55,blend8,2,7,7,4,686,0.010467689021133745,2
56,blend8,0,7,7,3,698,0.010650797283894103,12
57,fill8,0,3,3,0,703,0.010727092393377585,5
58,blend8,0,14,14,4,717,0.010940718699931334,14
59,blend8,0,5,5,2,729,0.011123826962691692,12
60,blend8,1,12,12,4,730,0.011139085984588388,1
61,blend8,2,5,5,3,740,0.011291676203555352,10
62,blend8,2,4,4,2,741,0.011306935225452048,1
63,blend8,3,4,4,4,742,0.011322194247348745,1
64,blend8,0,4,4,1,760,0.011596856641489281,18
65,blend8,0,15,15,4,769,0.011734187838559548,9
66,blend8,1,13,13,4,784,0.011963073167009996,15
67,blend8,1,7,7,3,788,0.012024109254596781,4
68,blend8,1,5,5,2,790,0.012054627298390174,2
69,blend8,1,4,4,1,792,0.012085145342183566,2
70,blend8,3,4,4,3,796,0.012146181429770352,4
71,blend8,0,8,8,3,803,0.012252994583047227,7
72,blend8,0,16,16,4,820,0.012512397955291066,17
73,blend8,1,14,14,4,834,0.012726024261844816,14
74,blend8,2,10,10,4,846,0.012909132524605172,12
75,blend8,2,4,4,1,847,0.012924391546501868,1
76,blend8,3,4,4,2,850,0.01297016861219196,3
77,blend8,0,17,17,4,872,0.01330586709391928,22
78,blend8,1,15,15,4,887,0.013534752422369727,15
79,blend8,0,6,6,2,888,0.013550011444266423,1
80,blend8,1,8,8,3,895,0.013656824597543298,7
81,blend8,2,11,11,4,898,0.013702601663233387,3
82,blend8,2,5,5,2,899,0.013717860685130083,1
83,blend8,3,7,7,4,901,0.013748378728923476,2
84,blend8,3,4,4,1,903,0.013778896772716868,2
85,blend8,0,9,9,3,910,0.013885709925993743,7
86,blend8,0,18,18,4,924,0.014099336232547494,14
87,blend8,1,16,16,4,939,0.01432822156099794,15
88,blend8,1,6,6,2,949,0.014480811779964905,10
89,blend8,2,12,12,4,950,0.014496070801861601,1
90,blend8,2,7,7,3,953,0.01454184786755169,3
91,blend8,3,8,8,4,956,0.01458762493324178,3
92,blend8,0,5,5,1,971,0.014816510261692225,15
93,fill8,0,4,4,0,976,0.014892805371175709,5
94,blend8,1,17,17,4,990,0.015106431677729458,14
95,blend8,1,9,9,3,1001,0.015274280918593118,11
96,blend8,1,5,5,1,1003,0.01530479896238651,2
97,blend8,2,13,13,4,1004,0.015320057984283207,1
98,blend8,3,9,9,4,1008,0.015381094071869994,4
99,blend8,3,5,5,2,1010,0.015411612115663387,2
100,blend8,4,5,5,4,1011,0.015426871137560083,1
101,blend8,0,10,10,3,1017,0.015518425268940261,6
102,blend8,0,20,20,4,1028,0.01568627450980392,11
103,blend8,0,7,7,2,1044,0.015930418860151063,16
104,blend8,1,18,18,4,1045,0.01594567788204776,1
105,blend8,2,14,14,4,1056,0.016113527122911423,11
106,blend8,2,5,5,1,1059,0.016159304188601512,3
107,blend8,2,8,8,3,1060,0.01617456321049821,1
108,blend8,2,6,6,2,1061,0.016189822232394905,1
109,blend8,3,10,10,4,1062,0.0162050812542916,1
110,blend8,4,5,5,3,1064,0.016235599298084994,2
111,blend8,4,6,6,4,1065,0.01625085831998169,1
112,blend8,0,21,21,4,1082,0.01651026169222553,17
113,blend8,1,19,19,4,1093,0.01667811093308919,11
114,blend8,1,10,10,3,1105,0.016861219195849545,12
115,blend8,2,15,15,4,1106,0.01687647821774624,1
116,blend8,1,7,7,2,1107,0.016891737239642938,1
117,blend8,3,11,11,4,1116,0.017029068436713205,9
118,blend8,3,5,5,1,1117,0.0170443274586099,1
119,blend8,4,5,5,2,1118,0.017059586480506598,1
120,blend8,4,7,7,4,1119,0.017074845502403294,1
121,blend8,0,11,11,3,1121,0.01710536354619669,2
122,blend8,0,22,22,4,1133,0.017288471808957047,12
123,blend8,1,20,20,4,1143,0.01744106202792401,10
124,blend8,2,9,9,3,1164,0.017761501487754634,21
125,blend8,3,12,12,4,1168,0.01782253757534142,4
126,blend8,4,5,5,1,1171,0.01786831464103151,3
127,blend8,4,6,6,3,1172,0.017883573662928205,1
128,blend8,0,6,6,1,1182,0.01803616388189517,10
129,blend8,0,23,23,4,1187,0.018112458991378654,5
130,blend8,1,21,21,4,1199,0.01829556725413901,12
131,blend8,0,8,8,2,1205,0.01838712138551919,6
132,blend8,1,11,11,3,1208,0.018432898451209278,3
133,blend8,2,17,17,4,1211,0.018478675516899367,3
134,blend8,1,6,6,1,1213,0.01850919356069276,2
135,blend8,2,7,7,2,1219,0.018600747692072938,6
136,blend8,3,13,13,4,1223,0.018661783779659723,4
137,blend8,3,8,8,3,1224,0.01867704280155642,1
138,blend8,4,9,9,4,1225,0.018692301823453116,1
139,blend8,0,12,12,3,1228,0.018738078889143205,3
140,blend8,0,24,24,4,1235,0.01884489204242008,7
141,fill8,0,5,5,0,1247,0.019028000305180436,12
142,blend8,1,22,22,4,1250,0.01907377737087053,3
143,blend8,2,18,18,4,1262,0.019256885633630885,12
144,blend8,1,8,8,2,1263,0.01927214465552758,1
