name,mode,use_fill16,r16,g16,b16,w16
dual_rg_equal_00128,fill16,1,128,128,0,0
dual_rg_equal_00512,fill16,1,512,512,0,0
dual_rg_equal_01024,fill16,1,1024,1024,0,0
dual_rg_equal_02048,fill16,1,2048,2048,0,0
dual_rg_equal_04096,fill16,1,4096,4096,0,0
dual_rg_equal_08192,fill16,1,8192,8192,0,0
dual_rg_equal_12288,fill16,1,12288,12288,0,0
dual_rg_equal_16384,fill16,1,16384,16384,0,0
dual_rg_equal_20480,fill16,1,20480,20480,0,0
dual_rg_equal_24576,fill16,1,24576,24576,0,0
dual_rg_equal_32768,fill16,1,32768,32768,0,0
dual_rg_equal_40960,fill16,1,40960,40960,0,0
dual_rg_equal_49152,fill16,1,49152,49152,0,0
dual_rg_equal_57344,fill16,1,57344,57344,0,0
dual_rg_equal_65535,fill16,1,65535,65535,0,0
dual_rg_rfix00128_gramp00512,fill16,1,128,512,0,0
dual_rg_rfix00128_gramp01024,fill16,1,128,1024,0,0
dual_rg_rfix00128_gramp02048,fill16,1,128,2048,0,0
dual_rg_rfix00128_gramp04096,fill16,1,128,4096,0,0
dual_rg_rfix00128_gramp08192,fill16,1,128,8192,0,0
dual_rg_rfix00128_gramp12288,fill16,1,128,12288,0,0
dual_rg_rfix00128_gramp16384,fill16,1,128,16384,0,0
dual_rg_rfix00128_gramp20480,fill16,1,128,20480,0,0
dual_rg_rfix00128_gramp24576,fill16,1,128,24576,0,0
dual_rg_rfix00128_gramp32768,fill16,1,128,32768,0,0
dual_rg_rfix00128_gramp40960,fill16,1,128,40960,0,0
dual_rg_rfix00128_gramp49152,fill16,1,128,49152,0,0
dual_rg_rfix00128_gramp57344,fill16,1,128,57344,0,0
dual_rg_rfix00128_gramp65535,fill16,1,128,65535,0,0
dual_rg_rfix01024_gramp00128,fill16,1,1024,128,0,0
dual_rg_rfix01024_gramp00512,fill16,1,1024,512,0,0
dual_rg_rfix01024_gramp02048,fill16,1,1024,2048,0,0
dual_rg_rfix01024_gramp04096,fill16,1,1024,4096,0,0
