name,mode,use_fill16,r16,g16,b16,w16
sparse_cyanteal_r0.00g0.40b1.00_4096_w0,fill16,1,0,1638,4096,0
sparse_cyanteal_r0.00g0.40b1.00_4096_w8,fill16,1,0,1638,4096,327
sparse_cyanteal_r0.00g0.40b1.00_4096_w18,fill16,1,0,1638,4096,737
sparse_cyanteal_r0.00g0.40b1.00_4096_w30,fill16,1,0,1638,4096,1228
sparse_cyanteal_r0.00g0.40b1.00_4096_w45,fill16,1,0,1638,4096,1843
sparse_cyanteal_r0.00g0.40b1.00_4096_w60,fill16,1,0,1638,4096,2457
sparse_cyanteal_r0.00g0.55b1.00_4096_w0,fill16,1,0,2252,4096,0
sparse_cyanteal_r0.00g0.55b1.00_4096_w8,fill16,1,0,2252,4096,327
sparse_cyanteal_r0.00g0.55b1.00_4096_w18,fill16,1,0,2252,4096,737
sparse_cyanteal_r0.00g0.55b1.00_4096_w30,fill16,1,0,2252,4096,1228
sparse_cyanteal_r0.00g0.55b1.00_4096_w45,fill16,1,0,2252,4096,1843
sparse_cyanteal_r0.00g0.55b1.00_4096_w60,fill16,1,0,2252,4096,2457
sparse_cyanteal_r0.00g0.70b1.00_4096_w0,fill16,1,0,2867,4096,0
sparse_cyanteal_r0.00g0.70b1.00_4096_w8,fill16,1,0,2867,4096,327
sparse_cyanteal_r0.00g0.70b1.00_4096_w18,fill16,1,0,2867,4096,737
sparse_cyanteal_r0.00g0.70b1.00_4096_w30,fill16,1,0,2867,4096,1228
sparse_cyanteal_r0.00g0.70b1.00_4096_w45,fill16,1,0,2867,4096,1843
sparse_cyanteal_r0.00g0.70b1.00_4096_w60,fill16,1,0,2867,4096,2457
sparse_cyanteal_r0.00g0.85b1.00_4096_w0,fill16,1,0,3481,4096,0
sparse_cyanteal_r0.00g0.85b1.00_4096_w8,fill16,1,0,3481,4096,327
sparse_cyanteal_r0.00g0.85b1.00_4096_w18,fill16,1,0,3481,4096,737
sparse_cyanteal_r0.00g0.85b1.00_4096_w30,fill16,1,0,3481,4096,1228
sparse_cyanteal_r0.00g0.85b1.00_4096_w45,fill16,1,0,3481,4096,1843
sparse_cyanteal_r0.00g0.85b1.00_4096_w60,fill16,1,0,3481,4096,2457
sparse_cyanteal_r0.00g1.00b1.00_4096_w0,fill16,1,0,4096,4096,0
sparse_cyanteal_r0.00g1.00b1.00_4096_w8,fill16,1,0,4096,4096,327
sparse_cyanteal_r0.00g1.00b1.00_4096_w18,fill16,1,0,4096,4096,737
sparse_cyanteal_r0.00g1.00b1.00_4096_w30,fill16,1,0,4096,4096,1228
sparse_cyanteal_r0.00g1.00b1.00_4096_w45,fill16,1,0,4096,4096,1843
sparse_cyanteal_r0.00g1.00b1.00_4096_w60,fill16,1,0,4096,4096,2457
sparse_cyanteal_r0.00g1.00b0.80_4096_w0,fill16,1,0,4096,3276,0
sparse_cyanteal_r0.00g1.00b0.80_4096_w8,fill16,1,0,4096,3276,327
sparse_cyanteal_r0.00g1.00b0.80_4096_w18,fill16,1,0,4096,3276,737
