name,mode,use_fill16,r16,g16,b16,w16,repeats
gray_q16_00000,fill16,1,0,0,0,0,1
gray_q16_00131,fill16,1,131,131,131,0,1
gray_q16_00262,fill16,1,262,262,262,0,1
gray_q16_00393,fill16,1,393,393,393,0,1
gray_q16_00525,fill16,1,525,525,525,0,1
gray_q16_00656,fill16,1,656,656,656,0,1
gray_q16_00787,fill16,1,787,787,787,0,1
gray_q16_00919,fill16,1,919,919,919,0,1
gray_q16_01050,fill16,1,1050,1050,1050,0,1
gray_q16_01181,fill16,1,1181,1181,1181,0,1
gray_q16_01313,fill16,1,1313,1313,1313,0,1
gray_q16_01444,fill16,1,1444,1444,1444,0,1
gray_q16_01575,fill16,1,1575,1575,1575,0,1
gray_q16_01707,fill16,1,1707,1707,1707,0,1
gray_q16_01838,fill16,1,1838,1838,1838,0,1
gray_q16_01969,fill16,1,1969,1969,1969,0,1
gray_q16_02101,fill16,1,2101,2101,2101,0,1
gray_q16_02232,fill16,1,2232,2232,2232,0,1
gray_q16_02363,fill16,1,2363,2363,2363,0,1
gray_q16_02495,fill16,1,2495,2495,2495,0,1
gray_q16_02626,fill16,1,2626,2626,2626,0,1
gray_q16_02757,fill16,1,2757,2757,2757,0,1
gray_q16_02889,fill16,1,2889,2889,2889,0,1
gray_q16_03020,fill16,1,3020,3020,3020,0,1
gray_q16_03151,fill16,1,3151,3151,3151,0,1
gray_q16_03283,fill16,1,3283,3283,3283,0,1
gray_q16_03414,fill16,1,3414,3414,3414,0,1
gray_q16_03545,fill16,1,3545,3545,3545,0,1
gray_q16_03677,fill16,1,3677,3677,3677,0,1
gray_q16_03808,fill16,1,3808,3808,3808,0,1
gray_q16_03939,fill16,1,3939,3939,3939,0,1
gray_q16_04071,fill16,1,4071,4071,4071,0,1
gray_q16_04202,fill16,1,4202,4202,4202,0,1
gray_q16_04333,fill16,1,4333,4333,4333,0,1
gray_q16_04465,fill16,1,4465,4465,4465,0,1
gray_q16_04596,fill16,1,4596,4596,4596,0,1
gray_q16_04727,fill16,1,4727,4727,4727,0,1
gray_q16_04859,fill16,1,4859,4859,4859,0,1
gray_q16_04990,fill16,1,4990,4990,4990,0,1
gray_q16_05121,fill16,1,5121,5121,5121,0,1
gray_q16_05253,fill16,1,5253,5253,5253,0,1
gray_q16_05384,fill16,1,5384,5384,5384,0,1
gray_q16_05515,fill16,1,5515,5515,5515,0,1
gray_q16_05647,fill16,1,5647,5647,5647,0,1
gray_q16_05778,fill16,1,5778,5778,5778,0,1
gray_q16_05909,fill16,1,5909,5909,5909,0,1
gray_q16_06041,fill16,1,6041,6041,6041,0,1
gray_q16_06172,fill16,1,6172,6172,6172,0,1
gray_q16_06303,fill16,1,6303,6303,6303,0,1
gray_q16_06435,fill16,1,6435,6435,6435,0,1
gray_q16_06566,fill16,1,6566,6566,6566,0,1
gray_q16_06697,fill16,1,6697,6697,6697,0,1
gray_q16_06829,fill16,1,6829,6829,6829,0,1
gray_q16_06960,fill16,1,6960,6960,6960,0,1
gray_q16_07091,fill16,1,7091,7091,7091,0,1
gray_q16_07223,fill16,1,7223,7223,7223,0,1
gray_q16_07354,fill16,1,7354,7354,7354,0,1
gray_q16_07485,fill16,1,7485,7485,7485,0,1
gray_q16_07617,fill16,1,7617,7617,7617,0,1
gray_q16_07748,fill16,1,7748,7748,7748,0,1
gray_q16_07879,fill16,1,7879,7879,7879,0,1
gray_q16_08011,fill16,1,8011,8011,8011,0,1
gray_q16_08142,fill16,1,8142,8142,8142,0,1
gray_q16_08273,fill16,1,8273,8273,8273,0,1
gray_q16_08405,fill16,1,8405,8405,8405,0,1
gray_q16_08536,fill16,1,8536,8536,8536,0,1
gray_q16_08667,fill16,1,8667,8667,8667,0,1
gray_q16_08799,fill16,1,8799,8799,8799,0,1
gray_q16_08930,fill16,1,8930,8930,8930,0,1
gray_q16_09061,fill16,1,9061,9061,9061,0,1
gray_q16_09193,fill16,1,9193,9193,9193,0,1
gray_q16_09324,fill16,1,9324,9324,9324,0,1
gray_q16_09455,fill16,1,9455,9455,9455,0,1
gray_q16_09587,fill16,1,9587,9587,9587,0,1
gray_q16_09718,fill16,1,9718,9718,9718,0,1
gray_q16_09849,fill16,1,9849,9849,9849,0,1
gray_q16_09981,fill16,1,9981,9981,9981,0,1
gray_q16_10112,fill16,1,10112,10112,10112,0,1
gray_q16_10243,fill16,1,10243,10243,10243,0,1
gray_q16_10375,fill16,1,10375,10375,10375,0,1
gray_q16_10506,fill16,1,10506,10506,10506,0,1
gray_q16_10637,fill16,1,10637,10637,10637,0,1
gray_q16_10769,fill16,1,10769,10769,10769,0,1
gray_q16_10900,fill16,1,10900,10900,10900,0,1
gray_q16_11031,fill16,1,11031,11031,11031,0,1
gray_q16_11163,fill16,1,11163,11163,11163,0,1
gray_q16_11294,fill16,1,11294,11294,11294,0,1
gray_q16_11425,fill16,1,11425,11425,11425,0,1
gray_q16_11557,fill16,1,11557,11557,11557,0,1
gray_q16_11688,fill16,1,11688,11688,11688,0,1
gray_q16_11819,fill16,1,11819,11819,11819,0,1
gray_q16_11951,fill16,1,11951,11951,11951,0,1
gray_q16_12082,fill16,1,12082,12082,12082,0,1
gray_q16_12213,fill16,1,12213,12213,12213,0,1
gray_q16_12345,fill16,1,12345,12345,12345,0,1
gray_q16_12476,fill16,1,12476,12476,12476,0,1
gray_q16_12607,fill16,1,12607,12607,12607,0,1
gray_q16_12739,fill16,1,12739,12739,12739,0,1
gray_q16_12870,fill16,1,12870,12870,12870,0,1
gray_q16_13001,fill16,1,13001,13001,13001,0,1
gray_q16_13133,fill16,1,13133,13133,13133,0,1
gray_q16_13264,fill16,1,13264,13264,13264,0,1
gray_q16_13395,fill16,1,13395,13395,13395,0,1
gray_q16_13527,fill16,1,13527,13527,13527,0,1
gray_q16_13658,fill16,1,13658,13658,13658,0,1
gray_q16_13789,fill16,1,13789,13789,13789,0,1
gray_q16_13921,fill16,1,13921,13921,13921,0,1
gray_q16_14052,fill16,1,14052,14052,14052,0,1
gray_q16_14183,fill16,1,14183,14183,14183,0,1
gray_q16_14315,fill16,1,14315,14315,14315,0,1
gray_q16_14446,fill16,1,14446,14446,14446,0,1
gray_q16_14577,fill16,1,14577,14577,14577,0,1
gray_q16_14709,fill16,1,14709,14709,14709,0,1
gray_q16_14840,fill16,1,14840,14840,14840,0,1
gray_q16_14971,fill16,1,14971,14971,14971,0,1
gray_q16_15103,fill16,1,15103,15103,15103,0,1
gray_q16_15234,fill16,1,15234,15234,15234,0,1
gray_q16_15365,fill16,1,15365,15365,15365,0,1
gray_q16_15497,fill16,1,15497,15497,15497,0,1
gray_q16_15628,fill16,1,15628,15628,15628,0,1
gray_q16_15759,fill16,1,15759,15759,15759,0,1
gray_q16_15891,fill16,1,15891,15891,15891,0,1
gray_q16_16022,fill16,1,16022,16022,16022,0,1
gray_q16_16153,fill16,1,16153,16153,16153,0,1
gray_q16_16285,fill16,1,16285,16285,16285,0,1
gray_q16_16416,fill16,1,16416,16416,16416,0,1
gray_q16_16547,fill16,1,16547,16547,16547,0,1
gray_q16_16679,fill16,1,16679,16679,16679,0,1
gray_q16_16810,fill16,1,16810,16810,16810,0,1
gray_q16_16941,fill16,1,16941,16941,16941,0,1
gray_q16_17073,fill16,1,17073,17073,17073,0,1
gray_q16_17204,fill16,1,17204,17204,17204,0,1
gray_q16_17335,fill16,1,17335,17335,17335,0,1
gray_q16_17467,fill16,1,17467,17467,17467,0,1
