name,mode,use_fill16,r16,g16,b16,w16
gray_q16_00000,fill16,1,0,0,0,0
gray_q16_00001,fill16,1,1,1,1,0
R_q16_00001,fill16,1,1,0,0,0
G_q16_00001,fill16,1,0,1,0,0
B_q16_00001,fill16,1,0,0,1,0
W_q16_00001,fill16,1,0,0,0,1
gray_q16_00002,fill16,1,2,2,2,0
R_q16_00002,fill16,1,2,0,0,0
G_q16_00002,fill16,1,0,2,0,0
B_q16_00002,fill16,1,0,0,2,0
W_q16_00002,fill16,1,0,0,0,2
gray_q16_00003,fill16,1,3,3,3,0
R_q16_00003,fill16,1,3,0,0,0
G_q16_00003,fill16,1,0,3,0,0
B_q16_00003,fill16,1,0,0,3,0
W_q16_00003,fill16,1,0,0,0,3
gray_q16_00004,fill16,1,4,4,4,0
R_q16_00004,fill16,1,4,0,0,0
G_q16_00004,fill16,1,0,4,0,0
B_q16_00004,fill16,1,0,0,4,0
W_q16_00004,fill16,1,0,0,0,4
gray_q16_00006,fill16,1,6,6,6,0
R_q16_00006,fill16,1,6,0,0,0
G_q16_00006,fill16,1,0,6,0,0
B_q16_00006,fill16,1,0,0,6,0
W_q16_00006,fill16,1,0,0,0,6
gray_q16_00008,fill16,1,8,8,8,0
R_q16_00008,fill16,1,8,0,0,0
G_q16_00008,fill16,1,0,8,0,0
B_q16_00008,fill16,1,0,0,8,0
W_q16_00008,fill16,1,0,0,0,8
gray_q16_00012,fill16,1,12,12,12,0
R_q16_00012,fill16,1,12,0,0,0
G_q16_00012,fill16,1,0,12,0,0
B_q16_00012,fill16,1,0,0,12,0
W_q16_00012,fill16,1,0,0,0,12
gray_q16_00016,fill16,1,16,16,16,0
R_q16_00016,fill16,1,16,0,0,0
G_q16_00016,fill16,1,0,16,0,0
B_q16_00016,fill16,1,0,0,16,0
W_q16_00016,fill16,1,0,0,0,16
gray_q16_00024,fill16,1,24,24,24,0
R_q16_00024,fill16,1,24,0,0,0
G_q16_00024,fill16,1,0,24,0,0
B_q16_00024,fill16,1,0,0,24,0
W_q16_00024,fill16,1,0,0,0,24
gray_q16_00032,fill16,1,32,32,32,0
R_q16_00032,fill16,1,32,0,0,0
G_q16_00032,fill16,1,0,32,0,0
B_q16_00032,fill16,1,0,0,32,0
W_q16_00032,fill16,1,0,0,0,32
gray_q16_00048,fill16,1,48,48,48,0
R_q16_00048,fill16,1,48,0,0,0
G_q16_00048,fill16,1,0,48,0,0
B_q16_00048,fill16,1,0,0,48,0
W_q16_00048,fill16,1,0,0,0,48
gray_q16_00064,fill16,1,64,64,64,0
R_q16_00064,fill16,1,64,0,0,0
G_q16_00064,fill16,1,0,64,0,0
B_q16_00064,fill16,1,0,0,64,0
